userId,recommendations
25,"[Row(movieId=83411, rating=5.1967058181762695), Row(movieId=83359, rating=5.1967058181762695), Row(movieId=83318, rating=5.1967058181762695), Row(movieId=67504, rating=5.1967058181762695), Row(movieId=1150, rating=5.098412036895752), Row(movieId=2351, rating=5.0515594482421875), Row(movieId=68073, rating=5.0296950340271), Row(movieId=8580, rating=4.985324382781982), Row(movieId=1683, rating=4.9519453048706055), Row(movieId=8530, rating=4.899696350097656)]"
26,"[Row(movieId=83411, rating=4.660312175750732), Row(movieId=83359, rating=4.660312175750732), Row(movieId=83318, rating=4.660312175750732), Row(movieId=67504, rating=4.660312175750732), Row(movieId=3030, rating=4.580995082855225), Row(movieId=8751, rating=4.4844841957092285), Row(movieId=2361, rating=4.421943187713623), Row(movieId=108583, rating=4.413298606872559), Row(movieId=26776, rating=4.406609058380127), Row(movieId=6954, rating=4.372641563415527)]"
27,"[Row(movieId=83411, rating=5.51820707321167), Row(movieId=83359, rating=5.51820707321167), Row(movieId=83318, rating=5.51820707321167), Row(movieId=67504, rating=5.51820707321167), Row(movieId=3216, rating=5.159235954284668), Row(movieId=7087, rating=5.077723503112793), Row(movieId=72647, rating=4.966386795043945), Row(movieId=31547, rating=4.966386795043945), Row(movieId=26400, rating=4.966386795043945), Row(movieId=25764, rating=4.966386795043945)]"
28,"[Row(movieId=83411, rating=5.799483299255371), Row(movieId=83359, rating=5.799483299255371), Row(movieId=83318, rating=5.799483299255371), Row(movieId=67504, rating=5.799483299255371), Row(movieId=1192, rating=5.225090980529785), Row(movieId=72647, rating=5.2195353507995605), Row(movieId=31547, rating=5.2195353507995605), Row(movieId=26400, rating=5.2195353507995605), Row(movieId=25764, rating=5.2195353507995605), Row(movieId=8797, rating=5.2195353507995605)]"
29,"[Row(movieId=2071, rating=5.263040542602539), Row(movieId=670, rating=5.1665778160095215), Row(movieId=3478, rating=4.7215142250061035), Row(movieId=8530, rating=4.662081718444824), Row(movieId=3615, rating=4.60581111907959), Row(movieId=59369, rating=4.567111015319824), Row(movieId=1957, rating=4.552825450897217), Row(movieId=766, rating=4.5433759689331055), Row(movieId=1693, rating=4.499605655670166), Row(movieId=96655, rating=4.461439609527588)]"
30,"[Row(movieId=83411, rating=5.583841800689697), Row(movieId=83359, rating=5.583841800689697), Row(movieId=83318, rating=5.583841800689697), Row(movieId=67504, rating=5.583841800689697), Row(movieId=26084, rating=5.280081272125244), Row(movieId=54328, rating=5.128713607788086), Row(movieId=72647, rating=5.025457859039307), Row(movieId=31547, rating=5.025457859039307), Row(movieId=26400, rating=5.025457859039307), Row(movieId=25764, rating=5.025457859039307)]"
31,"[Row(movieId=83411, rating=5.679234027862549), Row(movieId=83359, rating=5.679234027862549), Row(movieId=83318, rating=5.679234027862549), Row(movieId=67504, rating=5.679234027862549), Row(movieId=2563, rating=5.252536296844482), Row(movieId=132333, rating=5.248888969421387), Row(movieId=5490, rating=5.248888969421387), Row(movieId=3216, rating=5.168379783630371), Row(movieId=6375, rating=5.140938758850098), Row(movieId=65037, rating=5.131277561187744)]"
32,"[Row(movieId=3216, rating=5.399494647979736), Row(movieId=8535, rating=5.353525161743164), Row(movieId=83411, rating=5.220067501068115), Row(movieId=83359, rating=5.220067501068115), Row(movieId=83318, rating=5.220067501068115), Row(movieId=67504, rating=5.220067501068115), Row(movieId=4357, rating=5.210204124450684), Row(movieId=8530, rating=5.165725231170654), Row(movieId=97957, rating=5.146216869354248), Row(movieId=6063, rating=5.076084613800049)]"
33,"[Row(movieId=86781, rating=4.7603278160095215), Row(movieId=4450, rating=4.663541793823242), Row(movieId=1859, rating=4.642856597900391), Row(movieId=26729, rating=4.618246555328369), Row(movieId=83411, rating=4.618016242980957), Row(movieId=83359, rating=4.618016242980957), Row(movieId=83318, rating=4.618016242980957), Row(movieId=67504, rating=4.618016242980957), Row(movieId=3007, rating=4.59360408782959), Row(movieId=2938, rating=4.592109203338623)]"
34,"[Row(movieId=83411, rating=5.931908130645752), Row(movieId=83359, rating=5.931908130645752), Row(movieId=83318, rating=5.931908130645752), Row(movieId=67504, rating=5.931908130645752), Row(movieId=72647, rating=5.338717460632324), Row(movieId=31547, rating=5.338717460632324), Row(movieId=26400, rating=5.338717460632324), Row(movieId=25764, rating=5.338717460632324), Row(movieId=8797, rating=5.338717460632324), Row(movieId=8609, rating=5.338717460632324)]"
35,"[Row(movieId=91104, rating=4.712898254394531), Row(movieId=31035, rating=4.510835647583008), Row(movieId=1085, rating=4.399714469909668), Row(movieId=1041, rating=4.1965837478637695), Row(movieId=3072, rating=4.191967487335205), Row(movieId=3030, rating=4.1723856925964355), Row(movieId=4903, rating=4.0941481590271), Row(movieId=83411, rating=4.0683112144470215), Row(movieId=83359, rating=4.0683112144470215), Row(movieId=83318, rating=4.0683112144470215)]"
36,"[Row(movieId=83411, rating=5.249739170074463), Row(movieId=83359, rating=5.249739170074463), Row(movieId=83318, rating=5.249739170074463), Row(movieId=67504, rating=5.249739170074463), Row(movieId=26472, rating=5.002529621124268), Row(movieId=2973, rating=4.926870346069336), Row(movieId=735, rating=4.727625846862793), Row(movieId=2563, rating=4.726799011230469), Row(movieId=72647, rating=4.724765300750732), Row(movieId=31547, rating=4.724765300750732)]"
37,"[Row(movieId=83411, rating=5.943165302276611), Row(movieId=83359, rating=5.943165302276611), Row(movieId=83318, rating=5.943165302276611), Row(movieId=67504, rating=5.943165302276611), Row(movieId=68073, rating=5.572953701019287), Row(movieId=8580, rating=5.546263694763184), Row(movieId=80, rating=5.496845722198486), Row(movieId=7087, rating=5.473289489746094), Row(movieId=1172, rating=5.41385555267334), Row(movieId=8530, rating=5.409446716308594)]"
38,"[Row(movieId=83411, rating=5.862114429473877), Row(movieId=83359, rating=5.862114429473877), Row(movieId=83318, rating=5.862114429473877), Row(movieId=67504, rating=5.862114429473877), Row(movieId=72647, rating=5.275903701782227), Row(movieId=31547, rating=5.275903701782227), Row(movieId=26400, rating=5.275903701782227), Row(movieId=25764, rating=5.275903701782227), Row(movieId=8797, rating=5.275903701782227), Row(movieId=8609, rating=5.275903701782227)]"
39,"[Row(movieId=65188, rating=5.382576942443848), Row(movieId=108979, rating=5.308450698852539), Row(movieId=65037, rating=5.2123260498046875), Row(movieId=83411, rating=5.127321720123291), Row(movieId=83359, rating=5.127321720123291), Row(movieId=83318, rating=5.127321720123291), Row(movieId=67504, rating=5.127321720123291), Row(movieId=9010, rating=5.047688961029053), Row(movieId=31435, rating=5.044997692108154), Row(movieId=110873, rating=5.016787052154541)]"
40,"[Row(movieId=83411, rating=6.01612663269043), Row(movieId=83359, rating=6.01612663269043), Row(movieId=83318, rating=6.01612663269043), Row(movieId=67504, rating=6.01612663269043), Row(movieId=72647, rating=5.41451358795166), Row(movieId=31547, rating=5.41451358795166), Row(movieId=26400, rating=5.41451358795166), Row(movieId=25764, rating=5.41451358795166), Row(movieId=8797, rating=5.41451358795166), Row(movieId=8609, rating=5.41451358795166)]"
41,"[Row(movieId=83411, rating=5.6370720863342285), Row(movieId=83359, rating=5.6370720863342285), Row(movieId=83318, rating=5.6370720863342285), Row(movieId=67504, rating=5.6370720863342285), Row(movieId=3216, rating=5.260758876800537), Row(movieId=65037, rating=5.093555450439453), Row(movieId=132333, rating=5.08216667175293), Row(movieId=5490, rating=5.08216667175293), Row(movieId=72647, rating=5.073365211486816), Row(movieId=31547, rating=5.073365211486816)]"
42,"[Row(movieId=83411, rating=5.945056438446045), Row(movieId=83359, rating=5.945056438446045), Row(movieId=83318, rating=5.945056438446045), Row(movieId=67504, rating=5.945056438446045), Row(movieId=72647, rating=5.350551605224609), Row(movieId=31547, rating=5.350551605224609), Row(movieId=26400, rating=5.350551605224609), Row(movieId=25764, rating=5.350551605224609), Row(movieId=8797, rating=5.350551605224609), Row(movieId=8609, rating=5.350551605224609)]"
43,"[Row(movieId=83411, rating=4.997629165649414), Row(movieId=83359, rating=4.997629165649414), Row(movieId=83318, rating=4.997629165649414), Row(movieId=67504, rating=4.997629165649414), Row(movieId=2973, rating=4.640119552612305), Row(movieId=72647, rating=4.497866153717041), Row(movieId=31547, rating=4.497866153717041), Row(movieId=26400, rating=4.497866153717041), Row(movieId=25764, rating=4.497866153717041), Row(movieId=8797, rating=4.497866153717041)]"
44,"[Row(movieId=1352, rating=5.236207962036133), Row(movieId=2563, rating=5.175294399261475), Row(movieId=4357, rating=5.004371643066406), Row(movieId=8530, rating=4.96379280090332), Row(movieId=6970, rating=4.829875469207764), Row(movieId=8535, rating=4.734910488128662), Row(movieId=3612, rating=4.733526706695557), Row(movieId=91104, rating=4.657425880432129), Row(movieId=31694, rating=4.637391090393066), Row(movieId=3973, rating=4.580323219299316)]"
45,"[Row(movieId=83411, rating=5.583240509033203), Row(movieId=83359, rating=5.583240509033203), Row(movieId=83318, rating=5.583240509033203), Row(movieId=67504, rating=5.583240509033203), Row(movieId=2594, rating=5.428099155426025), Row(movieId=1232, rating=5.164027690887451), Row(movieId=7505, rating=5.068439483642578), Row(movieId=72647, rating=5.024917125701904), Row(movieId=31547, rating=5.024917125701904), Row(movieId=26400, rating=5.024917125701904)]"
46,"[Row(movieId=65188, rating=7.449888229370117), Row(movieId=108979, rating=6.9087233543396), Row(movieId=9010, rating=6.739918231964111), Row(movieId=3015, rating=6.57742166519165), Row(movieId=83411, rating=6.5540289878845215), Row(movieId=83359, rating=6.5540289878845215), Row(movieId=83318, rating=6.5540289878845215), Row(movieId=67504, rating=6.5540289878845215), Row(movieId=5765, rating=6.450093746185303), Row(movieId=4630, rating=6.450093746185303)]"
47,"[Row(movieId=83411, rating=5.5338029861450195), Row(movieId=83359, rating=5.5338029861450195), Row(movieId=83318, rating=5.5338029861450195), Row(movieId=67504, rating=5.5338029861450195), Row(movieId=3216, rating=5.237236976623535), Row(movieId=54328, rating=5.056883335113525), Row(movieId=65037, rating=5.046107292175293), Row(movieId=8535, rating=5.011831760406494), Row(movieId=132333, rating=5.011366367340088), Row(movieId=5490, rating=5.011366367340088)]"
48,"[Row(movieId=83411, rating=5.1139607429504395), Row(movieId=83359, rating=5.1139607429504395), Row(movieId=83318, rating=5.1139607429504395), Row(movieId=67504, rating=5.1139607429504395), Row(movieId=65037, rating=4.8887619972229), Row(movieId=31435, rating=4.746251583099365), Row(movieId=76173, rating=4.7141242027282715), Row(movieId=72647, rating=4.602564811706543), Row(movieId=31547, rating=4.602564811706543), Row(movieId=26400, rating=4.602564811706543)]"
49,"[Row(movieId=83411, rating=5.263851642608643), Row(movieId=83359, rating=5.263851642608643), Row(movieId=83318, rating=5.263851642608643), Row(movieId=67504, rating=5.263851642608643), Row(movieId=2563, rating=5.1546149253845215), Row(movieId=2275, rating=5.062384605407715), Row(movieId=501, rating=5.025454044342041), Row(movieId=48322, rating=4.876457691192627), Row(movieId=3309, rating=4.826429843902588), Row(movieId=1940, rating=4.804685592651367)]"
50,"[Row(movieId=83411, rating=4.7324652671813965), Row(movieId=83359, rating=4.7324652671813965), Row(movieId=83318, rating=4.7324652671813965), Row(movieId=67504, rating=4.7324652671813965), Row(movieId=26472, rating=4.34856653213501), Row(movieId=65037, rating=4.3114776611328125), Row(movieId=8535, rating=4.283226013183594), Row(movieId=106471, rating=4.260848045349121), Row(movieId=72647, rating=4.259218692779541), Row(movieId=31547, rating=4.259218692779541)]"
51,"[Row(movieId=501, rating=5.877132892608643), Row(movieId=2570, rating=5.747373580932617), Row(movieId=83411, rating=5.6585540771484375), Row(movieId=83359, rating=5.6585540771484375), Row(movieId=83318, rating=5.6585540771484375), Row(movieId=67504, rating=5.6585540771484375), Row(movieId=1411, rating=5.578820705413818), Row(movieId=1211, rating=5.57671594619751), Row(movieId=2563, rating=5.5318121910095215), Row(movieId=2275, rating=5.525287628173828)]"
52,"[Row(movieId=83411, rating=5.361871242523193), Row(movieId=83359, rating=5.361871242523193), Row(movieId=83318, rating=5.361871242523193), Row(movieId=67504, rating=5.361871242523193), Row(movieId=1207, rating=5.135152816772461), Row(movieId=1172, rating=5.119181156158447), Row(movieId=106438, rating=5.115679740905762), Row(movieId=213, rating=5.087526798248291), Row(movieId=2351, rating=5.065497398376465), Row(movieId=26082, rating=5.0540771484375)]"
53,"[Row(movieId=3181, rating=4.853445529937744), Row(movieId=299, rating=4.587426662445068), Row(movieId=3216, rating=4.547329425811768), Row(movieId=156, rating=4.464278697967529), Row(movieId=3706, rating=4.459052562713623), Row(movieId=1194, rating=4.453029155731201), Row(movieId=97957, rating=4.3545684814453125), Row(movieId=3925, rating=4.333824157714844), Row(movieId=2966, rating=4.31783390045166), Row(movieId=3091, rating=4.259694576263428)]"
54,"[Row(movieId=8530, rating=5.4154205322265625), Row(movieId=670, rating=5.269495487213135), Row(movieId=1361, rating=4.994420528411865), Row(movieId=1693, rating=4.882300853729248), Row(movieId=7787, rating=4.875210762023926), Row(movieId=76173, rating=4.874295711517334), Row(movieId=65037, rating=4.8652191162109375), Row(movieId=77846, rating=4.847115993499756), Row(movieId=96655, rating=4.815465450286865), Row(movieId=3216, rating=4.772863388061523)]"
55,"[Row(movieId=83411, rating=5.348361015319824), Row(movieId=83359, rating=5.348361015319824), Row(movieId=83318, rating=5.348361015319824), Row(movieId=67504, rating=5.348361015319824), Row(movieId=1411, rating=5.132291793823242), Row(movieId=65037, rating=5.069815158843994), Row(movieId=3020, rating=5.0266876220703125), Row(movieId=968, rating=4.991056442260742), Row(movieId=9010, rating=4.929299354553223), Row(movieId=6063, rating=4.926148414611816)]"
56,"[Row(movieId=83411, rating=5.163079738616943), Row(movieId=83359, rating=5.163079738616943), Row(movieId=83318, rating=5.163079738616943), Row(movieId=67504, rating=5.163079738616943), Row(movieId=160590, rating=4.962703227996826), Row(movieId=148881, rating=4.962703227996826), Row(movieId=139757, rating=4.962703227996826), Row(movieId=139116, rating=4.962703227996826), Row(movieId=107978, rating=4.962703227996826), Row(movieId=74754, rating=4.962703227996826)]"
57,"[Row(movieId=83411, rating=6.0681281089782715), Row(movieId=83359, rating=6.0681281089782715), Row(movieId=83318, rating=6.0681281089782715), Row(movieId=67504, rating=6.0681281089782715), Row(movieId=2973, rating=5.534796237945557), Row(movieId=72647, rating=5.461315155029297), Row(movieId=31547, rating=5.461315155029297), Row(movieId=26400, rating=5.461315155029297), Row(movieId=25764, rating=5.461315155029297), Row(movieId=8797, rating=5.461315155029297)]"
58,"[Row(movieId=83411, rating=5.699873924255371), Row(movieId=83359, rating=5.699873924255371), Row(movieId=83318, rating=5.699873924255371), Row(movieId=67504, rating=5.699873924255371), Row(movieId=4967, rating=5.610605239868164), Row(movieId=1824, rating=5.450580596923828), Row(movieId=3216, rating=5.175179958343506), Row(movieId=72647, rating=5.129886627197266), Row(movieId=31547, rating=5.129886627197266), Row(movieId=26400, rating=5.129886627197266)]"
59,"[Row(movieId=83411, rating=4.884055137634277), Row(movieId=83359, rating=4.884055137634277), Row(movieId=83318, rating=4.884055137634277), Row(movieId=67504, rating=4.884055137634277), Row(movieId=60293, rating=4.4632248878479), Row(movieId=2732, rating=4.453256607055664), Row(movieId=2283, rating=4.437012195587158), Row(movieId=72647, rating=4.395650386810303), Row(movieId=31547, rating=4.395650386810303), Row(movieId=26400, rating=4.395650386810303)]"
60,"[Row(movieId=83411, rating=5.965743064880371), Row(movieId=83359, rating=5.965743064880371), Row(movieId=83318, rating=5.965743064880371), Row(movieId=67504, rating=5.965743064880371), Row(movieId=3216, rating=5.842360496520996), Row(movieId=97957, rating=5.55777645111084), Row(movieId=3030, rating=5.4437174797058105), Row(movieId=72647, rating=5.369168758392334), Row(movieId=31547, rating=5.369168758392334), Row(movieId=26400, rating=5.369168758392334)]"
61,"[Row(movieId=3216, rating=5.131244659423828), Row(movieId=6063, rating=4.948613166809082), Row(movieId=90061, rating=4.916258811950684), Row(movieId=4755, rating=4.916258811950684), Row(movieId=97957, rating=4.877392292022705), Row(movieId=149, rating=4.848809719085693), Row(movieId=65037, rating=4.721896648406982), Row(movieId=121231, rating=4.685930252075195), Row(movieId=5179, rating=4.652285575866699), Row(movieId=8530, rating=4.634804725646973)]"
62,"[Row(movieId=83411, rating=5.242814540863037), Row(movieId=83359, rating=5.242814540863037), Row(movieId=83318, rating=5.242814540863037), Row(movieId=67504, rating=5.242814540863037), Row(movieId=3181, rating=5.10045051574707), Row(movieId=3216, rating=5.062865734100342), Row(movieId=65037, rating=5.028010845184326), Row(movieId=31435, rating=4.874872207641602), Row(movieId=8530, rating=4.853416919708252), Row(movieId=97957, rating=4.795018672943115)]"
63,"[Row(movieId=3216, rating=6.238577842712402), Row(movieId=97957, rating=5.956812381744385), Row(movieId=89904, rating=5.698331356048584), Row(movieId=4754, rating=5.622140884399414), Row(movieId=6214, rating=5.563739776611328), Row(movieId=1875, rating=5.538760662078857), Row(movieId=6063, rating=5.454385280609131), Row(movieId=83411, rating=5.393005847930908), Row(movieId=83359, rating=5.393005847930908), Row(movieId=83318, rating=5.393005847930908)]"
64,"[Row(movieId=83411, rating=5.843050479888916), Row(movieId=83359, rating=5.843050479888916), Row(movieId=83318, rating=5.843050479888916), Row(movieId=67504, rating=5.843050479888916), Row(movieId=3216, rating=5.433139324188232), Row(movieId=26472, rating=5.401684761047363), Row(movieId=2563, rating=5.309938907623291), Row(movieId=132333, rating=5.309025287628174), Row(movieId=5490, rating=5.309025287628174), Row(movieId=766, rating=5.25885534286499)]"
